#,Associated Cell Fates,Steady State Probability,Cln3,MBF,SBF,Cln1-2,Cdh1,Swi5,Cdc20,Clb5-6,Sic1,Clb1-2,Mcm1
96,,1.3189e-13,0,0,0,0,1,0,1,1,1,1,1
97,,5.8752e-05,0,0,0,0,1,1,0,0,0,0,0
98,,1.1688e-07,0,0,0,0,1,1,0,0,0,0,1
99,,2.7259e-09,0,0,0,0,1,1,0,0,0,1,0
100,,1.0735e-11,0,0,0,0,1,1,0,0,0,1,1
101,Excited G1 state,0.004262,0,0,0,0,1,1,0,0,1,0,0
102,,4.3719e-06,0,0,0,0,1,1,0,0,1,0,1
103,,9.1176e-09,0,0,0,0,1,1,0,0,1,1,0
104,,1.061e-10,0,0,0,0,1,1,0,0,1,1,1
105,,5.8353e-08,0,0,0,0,1,1,0,1,0,0,0
106,,2.0351e-10,0,0,0,0,1,1,0,1,0,0,1
107,,2.7353e-12,0,0,0,0,1,1,0,1,0,1,0
108,,4.3818e-12,0,0,0,0,1,1,0,1,0,1,1
109,,3.8607e-08,0,0,0,0,1,1,0,1,1,0,0
110,,1.8127e-10,0,0,0,0,1,1,0,1,1,0,1
111,,4.1219e-13,0,0,0,0,1,1,0,1,1,1,0
112,,1.1928e-14,0,0,0,0,1,1,0,1,1,1,1
113,,5.8872e-05,0,0,0,0,1,1,1,0,0,0,0
114,,6.8582e-09,0,0,0,0,1,1,1,0,0,0,1
115,,1.6956e-07,0,0,0,0,1,1,1,0,0,1,0
116,,1.1527e-07,0,0,0,0,1,1,1,0,0,1,1
117,M phase,0.0027311,0,0,0,0,1,1,1,0,1,0,0
118,,4.3874e-06,0,0,0,0,1,1,1,0,1,0,1
119,,1.3407e-07,0,0,0,0,1,1,1,0,1,1,0
120,,2.0798e-06,0,0,0,0,1,1,1,0,1,1,1
121,,5.8441e-08,0,0,0,0,1,1,1,1,0,0,0
122,,3.5397e-12,0,0,0,0,1,1,1,1,0,0,1
123,,1.7311e-10,0,0,0,0,1,1,1,1,0,1,0
124,,1.3403e-08,0,0,0,0,1,1,1,1,0,1,1
125,,2.5052e-08,0,0,0,0,1,1,1,1,1,0,0
126,,6.6645e-12,0,0,0,0,1,1,1,1,1,0,1
127,,2.0589e-12,0,0,0,0,1,1,1,1,1,1,0
128,,1.0547e-10,0,0,0,0,1,1,1,1,1,1,1
129,,0.00019883,0,0,0,1,0,0,0,0,0,0,0
130,,3.4308e-07,0,0,0,1,0,0,0,0,0,0,1
131,,1.9819e-07,0,0,0,1,0,0,0,0,0,1,0
132,,5.7532e-09,0,0,0,1,0,0,0,0,0,1,1
133,,7.8806e-05,0,0,0,1,0,0,0,0,1,0,0
134,,7.9504e-08,0,0,0,1,0,0,0,0,1,0,1
135,,3.7175e-09,0,0,0,1,0,0,0,0,1,1,0
136,,3.8621e-12,0,0,0,1,0,0,0,0,1,1,1
137,,1.9966e-07,0,0,0,1,0,0,0,1,0,0,0
138,,5.86e-08,0,0,0,1,0,0,0,1,0,0,1
