Attractor #,Attractor Type,Associated Cell Fate,Basin Size,ATM,p53,Mdm2,MdmX,Wip1,Cyc G, Pten ,p21,AKT,Cyc E,RB,E2f1,p14ARF,BCL-2,Bax,Caspase,
1,Point,Apoptosis,0.45244,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,

2,Point,Senescence,0.42812,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,

3,Point,Apoptosis,0.1156,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,

4,Point,Senescence,0.0019836,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,

5,Point,Senescence,0.0018616,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,

