,Cln3,MBF,SBF,Cln1-2,Cdh1,Swi5,Cdc20,Clb5-6,Sic1,Clb1-2,Mcm1
Cln3,-1,1,1,0,0,0,0,0,0,0,0
MBF,0,0,0,0,0,0,0,1,0,0,0
SBF,0,0,0,1,0,0,0,0,0,0,0
Cln1-2,0,0,0,-1,-1,0,0,0,-1,0,0
Cdh1,0,0,0,0,0,0,0,0,0,-1,0
Swi5,0,0,0,0,0,-1,0,0,1,0,0
Cdc20,0,0,0,0,1,1,-1,-1,1,-1,0
Clb5-6,0,0,0,0,-1,0,0,0,-1,1,1
Sic1,0,0,0,0,0,0,0,-1,0,-1,0
Clb1-2,0,-1,-1,0,-1,-1,1,0,-1,0,1
Mcm1,0,0,0,0,0,1,1,0,0,1,-1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
basal,0,0,0,0,0,0,0,0,0,0,0
